0.2785,0.42176,0.74313
0.54688,0.91574,0.39223
0.95751,0.79221,0.65548
0.96489,0.95949,0.17119
0.15761,0.65574,0.70605
0.97059,0.035712,0.031833
0.95717,0.84913,0.27692
0.48538,0.93399,0.046171
0.80028,0.67874,0.097132
0.14189,0.75774,0.82346
1.6948,1.4456,1.9597
1.3171,1.6463,1.3404
1.9502,1.7094,1.5853
1.0344,1.7547,1.2238
1.4387,1.276,1.7513
1.3816,1.6797,1.2551
1.7655,1.6551,1.506
1.7952,1.1626,1.6991
1.1869,1.119,1.8909
1.4898,1.4984,1.9593
2.5472,2.1966,2.7572
2.1386,2.2511,2.7537
2.1493,2.616,2.3804
2.2575,2.4733,2.5678
2.8407,2.3517,2.0759
2.2543,2.8308,2.054
2.8143,2.5853,2.5308
2.2435,2.5497,2.7792
2.9293,2.9172,2.934
2.35,2.2858,2.1299
