0.52656,0.31416,0.080066
0.75021,0.4603,0.8987
0.66546,0.69401,0.91047
0.96405,0.0014308,0.73987
0.10816,0.55303,0.06638
0.93136,0.82542,0.95232
0.67809,0.3419,0.56148
0.98273,0.70461,0.087098
0.61469,0.046999,0.60241
0.58016,0.91735,0.58816
2.0214,2.074,1.7609
1.8159,1.2395,1.3197
1.4119,2.0187,2.1151
1.5221,1.6153,1.6093
1.9905,1.627,1.8737
1.7255,2.0111,1.4412
2.0806,1.7814,1.889
2.0859,1.8976,2.022
1.834,2.0849,1.2454
1.4272,1.4276,1.9878
3.194,2.853,2.904
3.1806,3.4973,2.5719
2.9257,2.9896,2.6426
2.8493,3.111,3.2485
3.3994,2.9284,3.4252
3.0044,2.93,2.5595
3.4249,3.3697,2.7108
2.6115,2.9844,2.9897
3.1232,3.4538,3.3534
2.9129,3.4027,2.5791
